n_seqs = 1000
n_types = 5

          n_events    time_span   time_elapsed
count  1000.000000  1000.000000  249349.000000
mean    250.349000   124.504845       0.499320
std      16.035971    10.946805       0.530529
min     206.000000    95.211187       0.000002
25%     239.000000   116.781388       0.132103
50%     250.000000   124.304199       0.326371
75%     260.000000   131.487029       0.683239
95%     278.000000   142.409054       1.568851
99%     291.010000   151.691894       2.420446
max     305.000000   158.079356       6.977952
